"direction","line_name","org_name","org_lat","org_long","dest_name","dest_lat","dest_long","vech_name","vech_lat","vech_long","next_point_name","arrivial_app","dist_from_stop","weekend_status","day_of_year","time_of_day","delay_mins"
0,"M60-SBS","BROADWAY/W 106 ST",40.801818,-73.967642,"SELECT BUS SERVICE LA GUARDIA AIRPORT",40.768074,-73.862089,"NYCT_5842",40.778008,-73.925531,"HOYT AV/31 ST","4.7 miles away",7604,FALSE,348,865,4.35
0,"B41","FLATBUSH AV/KINGS PLAZA",40.609253,-73.921539,"DNTWN BKLYN CADMAN PLZ via FLATBSH",40.695408,-73.990784,"NYCT_4597",40.615483,-73.928998,"FLATBUSH AV/E 46 ST","< 1 stop away",202,FALSE,229,337,3.46666666666667
0,"B35","CHURCH AV/MC DONALD AV",40.64265,-73.979587,"BROWNSVILLE M GASTON BL via CHURCH",40.656346,-73.907191,"NYCT_339",40.6561,-73.908463,"HEGEMAN AV/ROCKAWAY AV","approaching",136,FALSE,346,672,16
0,"Q58","PALMETTO ST/MYRTLE AV",40.700176,-73.910255,"FLUSHING MAIN ST",40.757343,-73.829361,"NYCT_4062",40.703686,-73.904419,"MADISON ST/WOODWARD AV","approaching",74,TRUE,175,1245,7.5
0,"B35","39 ST/1 AV",40.656455,-74.012243,"LTD BROWNSVILLE M GASTON BL via CHURCH",40.656346,-73.907191,"NYCT_418",40.651546,-73.934567,"CHURCH AV/UTICA AV","< 1 stop away",337,FALSE,356,992,21.0666666666667
0,"X7","ELTINGVILLE/TRANSIT CENTER",40.56076,-74.171089,"W MDTWN CNTRL PK S. via WEST ST via 6 AV",40.766006,-73.976807,"NYCT_2693",40.745004,-73.991272,"AV OF THE AMERICAS/W 29 ST","< 1 stop away",200,FALSE,216,537,-8.33333333333333
0,"M34-SBS","W 34 ST/12 AV",40.756534,-74.003941,"SELECT BUS WATERSIDE via 34 ST via 2 AV",40.737552,-73.973846,"NYCT_5933",40.754327,-73.998544,"W 34 ST/9 AV","< 1 stop away",263,FALSE,335,1326,2.5
1,"B7","SARATOGA AV/HALSEY ST",40.685581,-73.917793,"FLATBUSH AV",40.622421,-73.937233,"NYCT_7291",40.652633,-73.922956,"KINGS HY/CHURCH AV","at stop",3,TRUE,219,31,1.9
1,"B61","SMITH ST/FULTON ST",40.691209,-73.987376,"PARK SLOPE 20 ST via RED HOOK",40.657574,-73.982948,"NYCT_423",40.682813,-74.005597,"VAN BRUNT ST/SUMMIT ST","approaching",93,TRUE,274,1111,4.41666666666667
1,"B35","HEGEMAN AV/CHESTER AV",40.656216,-73.90815,"McDONALD AV via CHURCH AV",40.642696,-73.979881,"NYCT_448",40.651712,-73.930848,"CHURCH AV/E 48 ST","approaching",113,FALSE,234,742,-0.333333333333333
1,"Bx6","FOOD CENTER DR/MARKET ST",40.809978,-73.876657,"WASHINGTON HTS RIVERSIDE DR",40.836205,-73.948478,"NYCT_7697",40.814745,-73.884875,"HUNTS POINT AV/SPOFFORD AV","approaching",123,FALSE,345,939,-3.25
0,"X1","ELTINGVILLE/TRANSIT CENTER",40.56076,-74.171089,"W MDTWN CNTRL PK S. via CHURCH via 6 AV",40.766006,-73.976807,"NYCT_2679",40.591376,-74.087751,"HYLAN BL/QUINTARD ST","< 1 stop away",569,TRUE,232,938,-0.8
0,"B1","MACKENZIE LOOP (no G-A-R: use 300000)",40.578246,-73.939743,"OCEAN PKY",40.576421,-73.967439,"NYCT_7190",40.578212,-73.941331,"ORIENTAL BL/JAFFRAY ST","approaching",144,FALSE,297,1016,-4.8
1,"M7","W 146 ST/MALCOLM X BL",40.821152,-73.935977,"14 ST via COLUMBUS via 7 AV",40.737412,-73.996698,"NYCT_6789",40.752346,-73.989644,"7 AV/W 34 ST","< 1 stop away",223,FALSE,300,462,3.38333333333333
0,"Q77","SPRINGFIELD BL/145 RD",40.663848,-73.759368,"JAMAICA 165 ST TERM",40.708738,-73.796018,"NYCT_8404",40.693817,-73.74514,"FRANCIS LEWIS BL/LINDEN BL","< 1 stop away",309,FALSE,291,478,0.333333333333333
0,"B15","MARCUS GARVEY BL/BROADWAY",40.699722,-73.941516,"JFK AIRPORT",40.646909,-73.779564,"NYCT_4846",40.692518,-73.939938,"MARCUS GARVEY BL/DE KALB AV","at stop",17,FALSE,360,746,9.91666666666667
1,"Bx39","E 241 ST/CRANFORD AV",40.903339,-73.850048,"CLASON PT",40.807544,-73.852337,"NYCT_5578",40.856944,-73.86762,"WHITE PLAINS RD/PELHAM PY","at stop",7,FALSE,341,1069,11.1333333333333
1,"Bx5","BRUCKNER BL/WESTCHESTER AV",40.85183,-73.827271,"SOUTHERN BLVD WESTCHESTER AV",40.824581,-73.8918,"NYCT_4793",40.822148,-73.891713,"SOUTHERN BL/ALDUS ST","approaching",114,FALSE,159,925,1.18333333333333
