"direction","line_name","org_name","dest_name","vech_name","weekend_status","day_of_year","time_of_day","non_neg_delay"
0,"Q27","SPRINGFIELD BL/JAMAICA AV","FLUSHING  MAIN ST STA","NYCT_6845",TRUE,224,1012,0.716666666666667
1,"Bx38","BAY PZ/BARTOW AV","NORWOOD 205 ST STATION via GUNHILL","NYCT_4411",FALSE,347,631,0
0,"Q44-SBS","MERRICK BL/ARCHER AV","SELECT BUS BRONX ZOO via MAIN ST","NYCT_5909",FALSE,181,995,18.6333333333333
1,"M4","FT WASHINGTON AV/CABRINI BL","BWAY - 135 ST","NYCT_6652",FALSE,221,1342,0
0,"B67","MC DONALD AV/CORTELYOU RD","DNTWN BKLYN SANDS ST via VANDERBILT","NYCT_804",FALSE,283,902,12.7666666666667
0,"B52","CADMAN PZ W/TILLARY ST","RIDGEWOOD TERM via GATES","NYCT_6558",FALSE,233,1206,11.9666666666667
1,"M20","BROADWAY/W 63 ST","SOUTH FERRY via 7 AV via BAT PK CITY","NYCT_5220",FALSE,181,962,30.65
0,"M15-SBS","SOUTH FERRY/TERMINAL","SELECT BUS SERVICE 125ST via 1 AV","NYCT_1278",FALSE,170,1199,0
0,"M15","PIKE ST/CHERRY ST","EAST HARLEM 125 ST via 1 AV","NYCT_6065",FALSE,240,1063,0
0,"M15","PIKE ST/CHERRY ST","EAST HARLEM 125 ST via 1 AV","NYCT_5901",FALSE,303,586,0.516666666666667
0,"X27","SHORE RD/4 AV","MIDTOWN 57 ST via CHURCH via MADISON","NYCT_2426",FALSE,360,746,1.6
1,"M5","BROADWAY/W 178 ST","31 ST 6 AV","NYCT_3843",TRUE,350,687,4.41666666666667
1,"S40","ST GEORGE FERRY/S40 & S90","GOETHALS RD via RICH TR","NYCT_8239",FALSE,216,1016,12.9666666666667
1,"M10","FRED DOUGLASS BL/W 158 ST","COLUMBUS CIRCLE via CENTRAL PARK W.","NYCT_3941",FALSE,180,460,0.283333333333333
0,"B68","STILLWELL TERMINAL BUS LOOP","WINDSOR TERR PRTCHRD SQ vi C I AV","NYCT_482",FALSE,275,774,2.68333333333333
0,"B35","CHURCH AV/MC DONALD AV","BROWNSVILLE M GASTON BL via CHURCH","NYCT_778",TRUE,287,619,2.4
1,"B44","LEE AV/FLUSHING AV","SHEPSHD BAY KNAPP ST via NOSTRND","NYCT_5056",FALSE,216,729,0.133333333333333
1,"M2","168 ST/AUDUBON AV","EAST VILLAGE 8 ST via 5 AV","NYCT_3843",TRUE,217,1318,3.1
1,"B52","PALMETTO ST/ST NICHOLAS AV","DNTWN BKLYN TILLARY ST via GATES","NYCT_3983",TRUE,218,929,3.58333333333333
0,"Bx35","W 179 ST/BROADWAY","W FARMS RD SOUTHERN BL","NYCT_333",FALSE,298,654,0
0,"B15","MARCUS GARVEY BL/BROADWAY","JFK AIRPORT","NYCT_6816",FALSE,153,715,1.68333333333333
0,"S93","B ST/1 AV","LTD BAY RIDGE 86 ST STA via VICTRY","NYCT_7061",FALSE,228,787,4.75
0,"M31","W 54 ST/11 AV","YORKVILLE 91 ST via YORK AV","NYCT_3815",FALSE,293,425,8.9
1,"Bx7","RIVERDALE AV/W 263 ST","WASHINGTON HEIGHTS 166 ST via BROADWAY","NYCT_4372",TRUE,301,715,3.06666666666667
1,"B13","WYCKOFF AV/DE KALB AV","SPRING CREEK GATEWAY MALL","NYCT_7240",FALSE,361,1049,0
1,"B46","WASHINGTON PLZ/LANE3","KINGS PLAZA via UTICA","NYCT_4608",FALSE,229,1377,5.35
0,"M42","12 AV/42 ST","UN - 1 AV CROSSTOWN","NYCT_5211",FALSE,170,514,9.4
1,"M20","BROADWAY/W 63 ST","SOUTH FERRY via 7 AV via BAT PK CITY","NYCT_6734",TRUE,218,1391,2.93333333333333
1,"Bx36","RANDALL AV/OLMSTEAD AV","LTD WASHINGTON HEIGHTS GW BRIDGE","NYCT_311",FALSE,215,1030,1.15
0,"B62","BOERUM PL/SCHERMERHORN ST","LI CITY QUEENS PLAZA","NYCT_4539",FALSE,173,1251,18.8166666666667
1,"B31","QUENTIN RD/E 16 ST","GERITSON BCH","NYCT_4612",FALSE,220,975,0.55
0,"M60-SBS","BROADWAY/W 106 ST","SELECT BUS SERVICE LA GUARDIA AIRPORT","NYCT_5844",TRUE,225,226,0
