name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
newyork,2017-01-01,88.6,57.3,69.2,84.8,57.3,68.8,44.9,46.1,0,0,0,,,,,6.9,273.5,1014.3,0,2.4,197.4,17,7,,2017-01-01T07:06:58,2017-01-01T17:53:26,0.11,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote"
newyork,2017-01-02,75.3,53.3,63.7,75.3,53.3,63.7,48.5,60.6,0,0,0,,,,,8.7,29.1,1017.4,0,2.1,196.6,16.9,7,,2017-01-02T07:07:16,2017-01-02T17:54:05,0.14,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote"
newyork,2017-01-03,82.1,49.7,63.4,79.9,46.9,63.1,42.8,51.5,0,0,0,,,,,11.4,64,1017.3,0,2.1,191.4,16.5,7,,2017-01-03T07:07:32,2017-01-03T17:54:44,0.18,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote"
newyork,2017-01-04,84.6,51.9,66,81.6,51.9,65.7,44,50.2,0,0,0,,,,,7.2,90.2,1016.5,0,2.2,203.6,17.5,7,,2017-01-04T07:07:47,2017-01-04T17:55:24,0.21,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote"
newyork,2017-01-05,82.5,51.9,67.4,80.7,51.9,67.2,43.5,47.1,0,0,0,,,,,5.4,121.9,1015.3,0,2.4,208.1,17.9,8,,2017-01-05T07:08:02,2017-01-05T17:56:04,0.25,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote"
newyork,2017-01-06,77.1,52.4,65.3,77.1,52.4,65.3,43.3,47.4,0,0,0,,,,,7.4,297.8,1013.3,0,2.3,207.6,17.9,8,,2017-01-06T07:08:14,2017-01-06T17:56:44,0.25,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote"
newyork,2017-01-07,83.4,52.4,65.1,80.9,52.4,64.9,46.8,55.2,0,0,0,,,,,8.5,292.1,1011.8,8.9,2.3,198.4,17,7,,2017-01-07T07:08:26,2017-01-07T17:57:25,0.32,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote"
newyork,2017-01-08,83.9,53,67,81.7,53,66.8,51.5,61.3,0,0,0,,,,,6.5,289,1011.9,16.8,2,197.4,17,7,,2017-01-08T07:08:36,2017-01-08T17:58:06,0.35,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote"
newyork,2017-01-09,83.4,55.5,66.4,81.4,55.5,66.2,51.2,61.2,0,0,0,,,,,7.4,15.8,1011.9,11.8,2.2,191.3,16.5,7,,2017-01-09T07:08:45,2017-01-09T17:58:48,0.39,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote"
newyork,2017-01-10,80.7,51.3,62.8,79.4,51.3,62.8,44.9,57.8,0,0,0,,,,,8.7,30,1014.6,1.4,1.7,195,16.9,7,,2017-01-10T07:08:52,2017-01-10T17:59:30,0.42,Clear,Clear conditions throughout the day.,clear-day,"42752099999,42662099999,42754099999,remote"
